[2020-Aug-03 20:31:02] Data: curs_y=83.7759, WA_TOD_RATE=71.5805, VALUE_TOD=460.686, WA_TOM_RATE=71.6231, VALUE_TOM=2275.0389999999998, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.585, t_2=71.5974
[2020-Aug-03 20:31:49] Data: curs_y=83.7759, WA_TOD_RATE=71.5805, VALUE_TOD=460.686, WA_TOM_RATE=71.6231, VALUE_TOM=2275.0389999999998, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.585, t_2=71.5974
[2020-Aug-03 20:31:49] Data: curs_y=84.26100000000001, WA_TOD_RATE=72.148, VALUE_TOD=709.607, WA_TOM_RATE=72.2626, VALUE_TOM=2676.4629999999997, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.9196, t_2=71.585
[2020-Aug-03 20:31:49] Data: curs_y=84.912, WA_TOD_RATE=72.3421, VALUE_TOD=614.011, WA_TOM_RATE=72.4276, VALUE_TOM=2649.078, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=72.2348, t_2=71.9196
[2020-Aug-03 20:33:26] Data: curs_y=83.7759, WA_TOD_RATE=71.5805, VALUE_TOD=460.686, WA_TOM_RATE=71.6231, VALUE_TOM=2275.0389999999998, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.585, t_2=71.5974
[2020-Aug-03 20:33:26] Data: curs_y=84.26100000000001, WA_TOD_RATE=72.148, VALUE_TOD=709.607, WA_TOM_RATE=72.2626, VALUE_TOM=2676.4629999999997, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.9196, t_2=71.585
[2020-Aug-03 20:33:26] Data: curs_y=84.912, WA_TOD_RATE=72.3421, VALUE_TOD=614.011, WA_TOM_RATE=72.4276, VALUE_TOM=2649.078, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=72.2348, t_2=71.9196
[2020-Aug-03 20:34:00] Data: curs_y=83.7759, WA_TOD_RATE=71.5805, VALUE_TOD=460.686, WA_TOM_RATE=71.6231, VALUE_TOM=2275.0389999999998, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.585, t_2=71.5974
[2020-Aug-03 20:34:00] Data: curs_y=84.26100000000001, WA_TOD_RATE=72.148, VALUE_TOD=709.607, WA_TOM_RATE=72.2626, VALUE_TOM=2676.4629999999997, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.9196, t_2=71.585
[2020-Aug-03 20:34:00] Data: curs_y=84.912, WA_TOD_RATE=72.3421, VALUE_TOD=614.011, WA_TOM_RATE=72.4276, VALUE_TOM=2649.078, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=72.2348, t_2=71.9196
[2020-Aug-03 20:42:20] Data: curs_y=83.7759, WA_TOD_RATE=71.5805, VALUE_TOD=460.686, WA_TOM_RATE=71.6231, VALUE_TOM=2275.0389999999998, Rate=5.25, value_x=0.2468, value_y=0.4595, Brent=43.39, t_1=71.585, t_2=71.5974
